Tytuł,Cena,link,Metraż,Dzielnica
Kawalerka z przepięknym widokiem na bulwary wiślane!,380 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-z-przepieknym-widokiem-na-bulwary-wislane-ID4y9Ni.html,23,Grzegórzki
Sprzedam Mieszkanie,530 000 złdo negocjacji,/d/oferta/sprzedam-mieszkanie-CID3-ID17uZBR.html,"44,96",Nowa Huta
"Mieszkanie 46m2 - o 22 tysięce taniej, niż u dewelopera! (cesja)",560 000 złdo negocjacji,/d/oferta/mieszkanie-46m2-o-22-tysiece-taniej-niz-u-dewelopera-cesja-CID3-ID17n2hr.html,"46,21",Bieżanów-Prokocim
W Nowoczesnym Budynku Na Mistrzejowicach,550 000 zł,https://www.otodom.pl/pl/oferta/w-nowoczesnym-budynku-na-mistrzejowicach-ID4ydUS.html,34,Mistrzejowice
Dwupoziomowy apartament z tarasem 70 m2 Kraków,999 000 zł,https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-z-tarasem-70-m2-krakow-ID4xLuO.html,64,Prądnik Biały
"Śliczna, jasna, cicha kawalerka, 32,5m2, Ruczaj, właściciel",519 000 zł,/d/oferta/sliczna-jasna-cicha-kawalerka-32-5m2-ruczaj-wlasciciel-CID3-ID16ZFUz.html,"32,50",Łagiewniki-Borek Fałęcki
"3 pok. balkon, komórka, garaż, teren zamknięty.",799 900 zł,https://www.otodom.pl/pl/oferta/3-pok-balkon-komorka-garaz-teren-zamkniety-ID4y5Ox.html,62,Prądnik Biały
Słoneczne | 9. piętro | Widok + balkon + spokój | Do wykończenia,549 000 zł,https://www.otodom.pl/pl/oferta/sloneczne-9-pietro-widok-balkon-spokoj-do-wykonczenia-ID4y0wm.html,35,Podgórze Duchackie
kawalerka w centrum / blisko tramwaj,419 000 zł,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-blisko-tramwaj-ID4y9gD.html,25,Grzegórzki
Bez prowizji|2 pok.+kuchnia|zieleń,470 000 zł,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pok-kuchnia-zielen-ID4xPF1.html,37,Wzgórza Krzesławickie
Klimatyczne mieszkanie z antresolą przy pętli Łagiewniki,688 200 zł,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-z-antresola-przy-petli-lagiewniki-ID4vP1L.html,60,Łagiewniki-Borek Fałęcki
2-pokojowe M  w dobrze skomunikowanej lokalizacji,593 000 zł,https://www.otodom.pl/pl/oferta/2-pokojowe-m-w-dobrze-skomunikowanej-lokalizacji-ID4y5yA.html,"40,32",Prądnik Biały
"Właściciel sprzeda mieszkanie Os. Kazimierzowskie, 37 m.kw 2 pok. II p",460 000 zł,/d/oferta/wlasciciel-sprzeda-mieszkanie-os-kazimierzowskie-37-m-kw-2-pok-ii-p-CID3-ID17wTmK.html,37,Bieńczyce
"Lux apartament 3-pok., ul. Szlak, 82 m2, z m. postojowym i komórką",2 700 000 złdo negocjacji,/d/oferta/lux-apartament-3-pok-ul-szlak-82-m2-z-m-postojowym-i-komorka-CID3-ID17thNh.html,82,Stare Miasto
Na sprzedaż – 1-pokojowe mieszkanie z tarasem w Krakowie,589 000 zł,https://www.otodom.pl/pl/oferta/na-sprzedaz-1-pokojowe-mieszkanie-z-tarasem-w-krakowie-ID4y6a7.html,"33,50",Krowodrza
Klimatyczne mieszkanie z antresolą przy pętli Łagiewniki,688 200 zł,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-z-antresola-przy-petli-lagiewniki-ID4vP1L.html,60,Łagiewniki-Borek Fałęcki
Piękne mieszkanie| 2 balkony| Miejsce Parkingowe,675 000 zł,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-2-balkony-miejsce-parkingowe-ID4y5x3.html,"45,55",Bieżanów-Prokocim
Dwupokojowe mieszkanie / Borek Fałęcki/ Blisko Kampus UJ,299 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-borek-falecki-blisko-kampus-uj-ID4xo6v.html,"23,10",Łagiewniki-Borek Fałęcki
1-pokojowe mieszkanie z pięknym widokiem!,433 500 zł,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-z-pieknym-widokiem-ID4xq1h.html,"29,10",Prądnik Czerwony
Dwupokojowe mieszkanie w okolicy ul. Stańczyka,549 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-okolicy-ul-stanczyka-ID4vosg.html,40,Bronowice
Mieszkanie w wysokim standardzie z garażem,535 000 zł,https://www.otodom.pl/pl/oferta/mieszkanie-w-wysokim-standardzie-z-garazem-ID4v0Tg.html,"30,94",Dębniki
Nowy adres z klimatem w świetnej lokalizacji,573 959 zł,https://www.otodom.pl/pl/oferta/nowy-adres-z-klimatem-w-swietnej-lokalizacji-ID4y5Wo.html,"41,10",Grzegórzki
Dwupokojowe mieszkanie w spokojnej okolicy,509 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-spokojnej-okolicy-ID4xZB4.html,"38,60",Mistrzejowice
Bieńczyce os. Kalinowe ⭐2 pok. ⭐Po remoncie,519 000 zł,https://www.otodom.pl/pl/oferta/bienczyce-os-kalinowe-2-pok-po-remoncie-ID4ydPv.html,36,Bieńczyce
"Kraków – Ruczaj – ul. Kobierzyńska – 36,5 m2",470 000 zł,https://www.otodom.pl/pl/oferta/krakow-ruczaj-ul-kobierzynska-36-5-m2-ID4y6nc.html,"36,50",Dębniki
