Tytuł,Cena,link,Metraż,Dzielnica
Wyjątkowy dwupoziomowy apartament typu stodoła z garażem indywidualnym,1 399 000 zł,https://www.otodom.pl/pl/oferta/wyjatkowy-dwupoziomowy-apartament-typu-stodola-z-garazem-indywidualnym-ID4wOUS.html,80,Prądnik Biały
Bagry/Miejsce postojowe/Komórka lokatorska/od Już,549 000 zł,https://www.otodom.pl/pl/oferta/bagry-miejsce-postojowe-komorka-lokatorska-od-juz-ID4yk1P.html,"28,84",Podgórze
"Duże 4 pokoje–balkon, piwnica, świetna lokalizacja",888 000 zł,https://www.otodom.pl/pl/oferta/duze-4-pokojebalkon-piwnica-swietna-lokalizacja-ID4xNHC.html,"80,84",Bieżanów-Prokocim
"3pokoje, 2 balkony, m. postojowe, MPEC, budynek 2017, autobus",619 000 zł,https://www.otodom.pl/pl/oferta/3pokoje-2-balkony-m-postojowe-mpec-budynek-2017-autobus-ID4y68O.html,"39,99",Prądnik Biały
Dwupokojowe mieszkanie w okolicy ul. Stańczyka,549 000 zł,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-okolicy-ul-stanczyka-ID4vosg.html,40,Bronowice
"38m2 , mieszkanie z balkonem, Górka Narodowa ul. Słomczyńskiego",559 000 zł,https://www.otodom.pl/pl/oferta/38m2-mieszkanie-z-balkonem-gorka-narodowa-ul-slomczynskiego-ID4yhKN.html,"38,08",Prądnik Biały
Bez prowizji|2 pok.+kuchnia|zieleń,470 000 zł,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pok-kuchnia-zielen-ID4xPF1.html,37,Wzgórza Krzesławickie
Wykończone 2 pokoje! Bieżanowska/ Prokocim,349 000 zł,https://www.otodom.pl/pl/oferta/wykonczone-2-pokoje-biezanowska-prokocim-ID4xTmo.html,28,Bieżanów-Prokocim
Dobra  inwestycja Kraków - 390.000 zł,390 000 zł,https://www.olx.pl/d/oferta/dobra-inwestycja-krakow-390-000-zl-CID3-ID173CIc.html,34,Bieńczyce
Mieszkanie 2-pok. Borek Fałęcki 40 m².,599 000 złdo negocjacji,https://www.olx.pl/d/oferta/mieszkanie-2-pok-borek-falecki-40-m-CID3-ID17gwVq.html,40,Łagiewniki-Borek Fałęcki
DUŻA JASNA kuchnia - dwa niezależne pokoje,460 000 zł,https://www.otodom.pl/pl/oferta/duza-jasna-kuchnia-dwa-niezalezne-pokoje-ID4y1k2.html,41,Nowa Huta
